Open,High,Low,Close,Adj Close
465.850006,477.309998,465.609985,475.869995,469.852692
470.890015,476.959991,467.730011,476.25,470.227905
478.190002,487.170013,477.890015,485.380005,479.242493
486,491.380005,482.220001,486.589996,480.437195
480.690002,499.660004,477.48999,498.649994,492.344666
500,500,483.019989,486.869995,480.713623
478.799988,484.48999,471.519989,473.459991,467.473175
482.579987,487.720001,473.589996,485.570007,479.430084
479.329987,493.709991,477.829987,491.440002,485.225861
487.829987,493.799988,482.51001,482.869995,478.175079
490.399994,495.589996,485.279999,487.920013,483.175995
490,499.940002,487.309998,497.910004,493.068817
499.829987,505.5,490.01001,498.26001,493.415405
496,507.119995,495.179993,507.019989,502.09024
508.73999,510.679993,501.559998,506.119995,501.199005
505.01001,513,504.359985,507.660004,502.72403
509.269989,511.850006,504.839996,505.320007,500.406799
502.269989,507.059998,501.329987,503.230011,498.337097
505,515.780029,503.859985,513.460022,508.467651
514.190002,516.530029,509.23999,513.030029,508.04184
514.320007,517.140015,508.809998,513.200012,508.210175
517.099976,519.590027,507.299988,510.730011,505.764191
515.109985,521.200012,512.47998,520.820007,515.756042
517.099976,521.890015,509.670013,509.970001,505.011566
510.679993,514.780029,506.600006,512.590027,507.60614
512.210022,512.47998,504.529999,510.019989,505.061066
510,524.72998,508,517.76001,512.72583
518.219971,533.52002,518,531.75,526.579834
530,538.280029,528.390015,536.950012,531.729248
539,548.969971,538.099976,545.960022,540.651672
543.599976,547.609985,536.640015,537.440002,532.214478
535.409973,540.72998,530.780029,533.710022,528.520752
533.320007,538.280029,528.619995,537,531.778748
538.5,553.289978,534.070007,534.820007,529.619995
537.900024,541,530.380005,534.080017,528.887146
535.890015,542.47998,535.23999,537.700012,532.471985
542.140015,548.359985,539,546.01001,540.701111
545.5,548,536.030029,537.440002,532.214478
532.059998,533.349976,520.179993,520.940002,515.874878
520.400024,526.26001,511.730011,524.27002,519.172546
524.23999,526.26001,513.51001,513.780029,508.784576
514.909973,520.900024,509.820007,513.809998,508.814209
516.76001,526.280029,513.169983,524.419983,519.321045
518.849976,519.900024,506.959991,508.549988,503.605377
510.809998,513.51001,493.339996,501.149994,496.277313
501.130005,505.519989,497.480011,499.619995,494.762207
499.5,509.769989,493.089996,507.619995,502.684418
507.209991,510.670013,489.230011,494.720001,489.909821
485.01001,501.570007,485,499.619995,494.762207
490.399994,494.630005,484.429993,486.420013,481.690582
493.809998,496.350006,481.119995,488.01001,483.265106
484.390015,500.519989,484.390015,486.149994,481.423187
486.100006,486.890015,471.420013,478.799988,474.144623
480.980011,487,475.809998,485.399994,480.68045
485.410004,495.559998,484.149994,489.220001,484.463348
494,494.720001,488.459991,492.529999,487.74115
488.26001,489.209991,468.359985,471.380005,466.796783
464.320007,481.579987,463.329987,478.549988,473.897034
481.380005,487.470001,472.309998,485.730011,481.007294
486.290009,495.73999,486.290009,492.079987,487.295532
490.790009,498.079987,488.660004,497.559998,492.722229
498.519989,502.309998,491.26001,498.089996,493.24707
501.73999,507.26001,499.410004,502.230011,497.346832
491,507.109985,489.390015,507.109985,502.179352
503.619995,504.109985,495.660004,496.779999,491.949799
498.320007,501.380005,487.779999,492.549988,487.760925
494,496.149994,482.970001,492.26001,487.473755
488.329987,491.670013,484.899994,485.609985,480.888428
489.429993,493.630005,486.290009,490.179993,485.413971
489.5,497.609985,487.119995,497.100006,492.266693
494,497.899994,488.549988,493.529999,488.731384
492.880005,496.459991,487.609985,489.429993,484.671265
484.799988,490.160004,480.929993,484.630005,479.917969
475.130005,481.339996,467.26001,469.700012,465.133148
467.5,469.179993,457.420013,461.75,457.260376
464.200012,469.019989,456.5,464.329987,459.815308
453.399994,457.809998,450.679993,456.089996,453.266144
450.75,461.459991,449.700012,452.059998,449.261078
457.809998,485.119995,457.100006,480.320007,477.34613
475.720001,495.920013,474.540009,489.679993,486.648163
494.950012,503.579987,491.959991,499.809998,496.715424
499.440002,499.76001,486.559998,495.640015,492.571289
492.829987,511.890015,492.579987,505.660004,502.529236
512.080017,518.609985,505.079987,508.440002,505.292023
508.850006,518.700012,506.01001,515.710022,512.517029
513.549988,516.320007,509.720001,513.630005,510.44986
512.320007,517.530029,502.309998,517.400024,514.196533
507.640015,511,492.25,505.23999,502.111816
505.640015,517.409973,504.299988,515.289978,512.099548
515.25,517.299988,512.22998,514.380005,511.195221
512.309998,528.369995,511.01001,518.630005,515.418884
514.859985,521.469971,511.809998,516.950012,513.749329
513.25,519.140015,510.619995,514.419983,511.234955
508.070007,511.859985,501.190002,501.23999,498.136566
495,505.890015,492.279999,502.429993,499.319214
526.059998,531.98999,515.450012,529.75,526.470032
531,532.159973,518.75,519.369995,516.154297
521.090027,533.840027,520.590027,533.450012,530.147156
533.450012,534.049988,515.72998,519.469971,516.253662
519.390015,522.469971,511.140015,522.460022,519.22522
526,527.599976,518.400024,521.409973,518.181702
526.090027,532.890015,524.219971,529.469971,526.191772
533.799988,537.640015,531.030029,531.590027,528.298706
533.539978,537.859985,528.039978,534.609985,531.299927
537.48999,544.340027,531.73999,541.48999,538.13739
540.01001,543.849976,536.690002,542.340027,538.982117
542.27002,543.650024,531,535.380005,532.065247
537.549988,540.530029,531.719971,535.460022,532.144775
537.26001,543.619995,535.690002,540.650024,537.302612
539.289978,540.429993,532.76001,533.75,530.445251
530,535.5,527.559998,535.059998,531.747192
539.909973,541.299988,533.419983,536.599976,533.277588
540,545.73999,536.380005,537.26001,533.933533
540.26001,541.97998,533.809998,537.719971,534.390686
538.23999,538.630005,529.669983,532.859985,529.560791
535.609985,544.400024,534.450012,543.700012,540.333679
541.669983,547.210022,538.559998,544.640015,541.267883
545.210022,547.440002,542.390015,546.119995,542.738708
545.23999,547.789978,541.570007,545,541.625671
545.01001,548.130005,541.820007,545.219971,541.844299
545.5,553.130005,544.820007,548.320007,544.92511
541.390015,549.52002,541.349976,544.570007,541.198303
543.289978,543.289978,533.210022,535.799988,532.482605
536.679993,539.859985,535.02002,536.460022,533.138489
535.01001,542.02002,531.25,541.570007,538.216919
542.26001,543.190002,528.219971,529.25,525.973145
526,532.900024,522.869995,529.77002,526.489929
530.409973,531.090027,521.789978,522.840027,519.602844
520.820007,527.099976,519.159973,519.330017,516.114563
519.330017,524.26001,515.090027,524,520.755676
529.619995,529.789978,513.809998,516.349976,513.153015
519.929993,527.450012,516.919983,517.679993,514.474792
517,523.5,514.679993,521.679993,518.450012
520.950012,528.48999,518.809998,527.51001,524.243958
527.830017,527.830017,522.580017,524.340027,522.728638
525,535.02002,522.5,531.25,529.617371
524,525.26001,511.970001,513.960022,512.380554
514,515.380005,506.100006,509.769989,508.2034
516.299988,527.97998,514.140015,522.909973,521.302979
518.52002,522.820007,517.080017,521.02002,519.418823
518.590027,524,512.969971,523.549988,521.94104
524.23999,524.669983,514.809998,522.799988,521.193359
525.030029,528.01001,512.02002,512.080017,510.506317
511.029999,520.969971,506.109985,517.460022,515.869812
513.559998,514.659973,506.380005,513.609985,512.031555
507.390015,512.570007,499,508.359985,506.797729
510.369995,516.789978,503.579987,508.369995,506.807709
506.480011,516.27002,500.799988,513.940002,512.360596
514.77002,514.77002,502.470001,508.829987,507.266266
511.100006,516.549988,504.839996,505.040009,503.487946
507.079987,517.809998,505.399994,515.51001,513.925781
518.349976,524.590027,516.830017,523.169983,521.562195
521,529.349976,520.130005,527.070007,525.450256
528.330017,528.580017,516.73999,519.130005,517.534668
514.169983,514.169983,501.059998,504.850006,503.298523
505.600006,506.309998,495.019989,498.859985,497.326904
496.970001,506.829987,495.179993,499.809998,498.274017
502.130005,508.25,498.209991,499.959991,498.423523
493.450012,513.469971,487.73999,509.910004,508.342957
520,529.909973,511.929993,513.130005,511.55307
517.73999,524.309998,515.280029,521.880005,520.276184
532,532,518.330017,522.210022,520.605164
521.73999,523.820007,514.599976,520.320007,518.721008
523.049988,529.419983,519.780029,520.880005,519.279236
518.059998,536.530029,518.01001,533.72998,532.089722
538.070007,546.47998,537.799988,541.599976,539.935547
537.789978,543.919983,533.900024,540.219971,538.559814
541.380005,547.640015,540.210022,543.169983,541.500732
546.52002,546.52002,539.76001,541.799988,540.134949
544.969971,553,543.690002,551.23999,549.545959
555,558.099976,550.130005,555.150024,553.44397
555,555.690002,544.219971,547.309998,545.628052
544.409973,554.580017,543.070007,543.429993,541.759949
541.73999,547.869995,538.130005,543.609985,541.939392
547.049988,547.76001,527.140015,538.169983,536.516113
538.169983,546.950012,535.469971,545.02002,543.345093
547.049988,554.799988,542,553.049988,551.350403
553.780029,554.609985,539.440002,540.659973,538.998413
548.929993,551.700012,533.950012,544.169983,542.497681
546.280029,546.280029,509.649994,522.080017,520.475586
522,528.97998,513.409973,513.75,512.171143
512.809998,516.640015,500.769989,503.01001,501.464172
505.890015,514.130005,505.470001,511.519989,509.947998
512.159973,526.97998,512.159973,515.309998,513.726379
522.119995,533,519.460022,530,528.371216
529.01001,531.950012,515.380005,517.190002,515.600586
519.940002,524.659973,519.909973,523.090027,521.482483
525,530.440002,523,529.710022,528.082153
534,540.849976,532.52002,537.619995,535.967834
535.830017,539.580017,531.690002,532.27002,530.634277
531.669983,532.969971,523.650024,528,526.37738
529.719971,548.080017,527.47998,547.76001,546.07666
552.359985,553,535.799988,536.909973,535.259949
532.830017,538.609985,532.440002,536.159973,536.159973
531.48999,540.380005,530.880005,535.039978,535.039978
534.419983,540.590027,534.23999,539.320007,539.320007
540.840027,545.909973,539.630005,542.909973,542.909973
544.859985,551.289978,543.780029,547.919983,547.919983
547.929993,548.48999,538.869995,539.200012,539.200012
541.849976,546.080017,539.280029,545.859985,545.859985
550.559998,550.98999,535.099976,538.219971,538.219971
541.929993,543.47998,531.570007,538.359985,538.359985
533.98999,534.070007,525.469971,527.679993,527.679993
525.150024,525.809998,515.719971,523.700012,523.700012
524.599976,527.210022,520.929993,523.599976,523.599976
526.98999,526.98999,519.700012,520.210022,520.210022
523.630005,527.880005,518.099976,527.539978,527.539978
526.47998,529.01001,521.630005,527.090027,527.090027
524.099976,531.309998,522.900024,531.309998,531.309998
533.929993,535.840027,529.849976,531.98999,531.98999
535.070007,538.150024,527.72998,528.450012,528.450012
532.539978,533.679993,528.859985,529.880005,529.880005
530,530.5,524.840027,530.179993,530.179993
525.130005,525.630005,512.159973,518.640015,518.640015
518.640015,518.640015,500.600006,504.5,504.5
501.01001,502.089996,488.5,489.959991,489.959991
491.589996,492.869995,487.540009,490,490
492.410004,499.98999,488.540009,490.059998,490.059998
488.850006,490.470001,482.679993,486,486
485.290009,495.600006,485,493.399994,493.399994
490,498.730011,485.220001,495.670013,495.670013
486.109985,509.5,486,489.570007,489.570007
491.200012,492.940002,483.779999,485.079987,485.079987
488.049988,489.5,474.75,476.23999,476.23999
477.869995,486.390015,477.390015,484.359985,484.359985
485.529999,486.98999,479,486.720001,486.720001
486.679993,490.100006,481.390015,485.809998,485.809998
500.26001,500.26001,436.51001,491.600006,491.600006
489.279999,495.359985,485.730011,492.5,492.5
492.5,496.450012,490.579987,492.480011,492.480011
493.369995,493.369995,484.470001,486.049988,486.049988
487.809998,495.25,484.799988,485.790009,485.790009
498,505.5,493.130005,499.190002,499.190002
499.950012,504.380005,495.670013,497,497
494.26001,495,463.890015,470.829987,470.829987
475.230011,478.779999,469.75,472.019989,472.019989
472,478.970001,471.01001,475.23999,475.23999
471.040009,478.079987,469.029999,476.880005,476.880005
475.470001,485.040009,475.109985,483.220001,483.220001
485.630005,489.700012,482.399994,485.730011,485.730011
489.130005,495.660004,488.75,494.25,494.25
494,499.869995,491.76001,495.350006,495.350006
494.290009,497.950012,489.089996,492.829987,492.829987
489.649994,491.829987,488.390015,491.25,491.25
491.149994,494,487.269989,487.350006,487.350006
487.380005,499.459991,487.350006,499.079987,499.079987
496.700012,501.399994,490.5,491.309998,491.309998
492.809998,493.890015,488.670013,488.890015,488.890015
486.660004,493.329987,485.869995,491.690002,491.690002
489.579987,492.51001,483.01001,484.329987,484.329987
